feature,target,n_with,n_without,p_target_given_feature,p_target_given_not_feature,lift
landing_overall_ratings,yield_profile,274,226,1.0,1.0,0.0
landing_mf_key_ratios,yield_profile,364,136,1.0,1.0,0.0
landing_risk_statistics,yield_profile,379,121,1.0,1.0,0.0
landing_top10,yield_profile,410,90,1.0,1.0,0.0
landing_key_profile,yield_profile,487,13,1.0,1.0,0.0
landing_ownership,yield_profile,14,486,1.0,1.0,0.0
landing_mf_esg,yield_profile,224,276,1.0,1.0,0.0
landing_ok,yield_profile,500,0,1.0,,
landing_dividends,yield_profile,500,0,1.0,,
landing_top10,yield_ratios,410,90,1.0,0.022222222222222223,0.9777777777777777
landing_objective,yield_ratios,439,61,0.9384965831435079,0.0,0.9384965831435079
landing_key_profile,yield_ratios,487,13,0.8459958932238193,0.0,0.8459958932238193
landing_mf_key_ratios,yield_ratios,364,136,1.0,0.35294117647058826,0.6470588235294117
landing_risk_statistics,yield_ratios,379,121,0.9498680738786279,0.4297520661157025,0.5201160077629254
landing_overall_ratings,yield_ratios,274,226,0.9963503649635036,0.6150442477876106,0.381306117175893
landing_mf_esg,yield_ratios,224,276,1.0,0.6811594202898551,0.3188405797101449
landing_mstar,yield_ratios,196,304,1.0,0.7105263157894737,0.2894736842105263
landing_ownership,yield_ratios,14,486,1.0,0.8189300411522634,0.18106995884773658
landing_ok,yield_ratios,500,0,0.824,,
landing_dividends,yield_ratios,500,0,0.824,,
landing_objective,yield_risk,439,61,0.9111617312072893,0.0,0.9111617312072893
landing_key_profile,yield_risk,487,13,0.8213552361396304,0.0,0.8213552361396304
landing_top10,yield_risk,410,90,0.9243902439024391,0.23333333333333334,0.6910569105691058
landing_risk_statistics,yield_risk,379,121,0.9604221635883905,0.2975206611570248,0.6629015024313657
landing_mf_key_ratios,yield_risk,364,136,0.9203296703296703,0.47794117647058826,0.442388493859082
landing_overall_ratings,yield_risk,274,226,0.948905109489051,0.6194690265486725,0.3294360829403785
landing_ownership,yield_risk,14,486,1.0,0.7942386831275721,0.20576131687242794
landing_mf_esg,yield_risk,224,276,0.90625,0.7137681159420289,0.19248188405797106
landing_mstar,yield_risk,196,304,0.8877551020408163,0.743421052631579,0.14433404940923733
landing_ok,yield_risk,500,0,0.8,,
landing_dividends,yield_risk,500,0,0.8,,
landing_ownership,yield_sma_high_low,14,486,0.7857142857142857,0.11522633744855967,0.670487948265726
landing_overall_ratings,yield_sma_high_low,274,226,0.17883211678832117,0.07964601769911504,0.09918609908920613
landing_objective,yield_sma_high_low,439,61,0.14350797266514806,0.06557377049180328,0.07793420217334478
landing_mf_key_ratios,yield_sma_high_low,364,136,0.15384615384615385,0.08088235294117647,0.07296380090497738
landing_top10,yield_sma_high_low,410,90,0.14634146341463414,0.07777777777777778,0.06856368563685636
landing_risk_statistics,yield_sma_high_low,379,121,0.1503957783641161,0.08264462809917356,0.06775115026494255
landing_key_profile,yield_sma_high_low,487,13,0.13552361396303902,0.07692307692307693,0.0586005370399621
landing_mf_esg,yield_sma_high_low,224,276,0.13392857142857142,0.13405797101449277,-0.0001293995859213415
landing_mstar,yield_sma_high_low,196,304,0.08673469387755102,0.16447368421052633,-0.07773899033297531
landing_ok,yield_sma_high_low,500,0,0.134,,
landing_dividends,yield_sma_high_low,500,0,0.134,,
landing_ownership,yield_sma_search,14,486,0.8571428571428571,0.17695473251028807,0.6801881246325691
landing_overall_ratings,yield_sma_search,274,226,0.2846715328467153,0.08849557522123894,0.19617595762547638
landing_objective,yield_sma_search,439,61,0.214123006833713,0.06557377049180328,0.1485492363419097
landing_top10,yield_sma_search,410,90,0.22195121951219512,0.07777777777777778,0.14417344173441735
landing_risk_statistics,yield_sma_search,379,121,0.22955145118733508,0.09090909090909091,0.13864236027824417
landing_mf_key_ratios,yield_sma_search,364,136,0.23076923076923078,0.10294117647058823,0.12782805429864255
landing_key_profile,yield_sma_search,487,13,0.19917864476386038,0.07692307692307693,0.12225556784078345
landing_mf_esg,yield_sma_search,224,276,0.23214285714285715,0.16666666666666666,0.0654761904761905
landing_mstar,yield_sma_search,196,304,0.15306122448979592,0.2236842105263158,-0.07062298603651987
landing_ok,yield_sma_search,500,0,0.196,,
landing_dividends,yield_sma_search,500,0,0.196,,
